feature,importance
perimeter_std,0.5429486345031276
perimeter_q10,0.10552644639102432
area_q10,0.038891495998729944
elongation_q50,0.024525142015351484
area_skew,0.023484583707149852
area_std,0.020462778127662867
perimeter_cv,0.019696509598619214
area_cv,0.019409408818214773
shape_q50,0.01900465229645959
shape_q10,0.017877574471969516
area_q50,0.013227459965547398
perimeter_skew,0.012803564265633612
shape_mean,0.012741182149537726
perimeter_q50,0.01221353874988099
shape_q90,0.01073468408833735
elongation_std,0.009566723462801107
perimeter_q90,0.007753311906653121
shape_std,0.007238659680672371
neighbors_std,0.006832998924651731
xy_corr,0.006538643778542843
center_y_std,0.006534179013274197
elongation_q90,0.006464459261270501
perimeter_mean,0.006360959350159747
area_q90,0.006195055056892856
center_x_std,0.005803939990152681
elongation_q10,0.005674828249202616
elongation_mean,0.005203352810394721
frac_neighbors_7,0.005169099374704917
area_mean,0.004341617983134783
frac_neighbors_6,0.0038678893522611072
frac_neighbors_8,0.0036137006044708836
frac_neighbors_5,0.0035773641980225658
neighbors_mean,0.0033032911041186875
frac_neighbors_4,0.002412270751372498
